Top,Jungle,Mid,ADC,Support
0.0381637,0.5545369,0.0082279695,0.05562515,0.7341355
0.8078991,0.9854728,0.995233,0.8110682,0.38068044
0.0011137351,0.0001515392,1.6438653e-05,0.0004993382,0.0024965866
0.990789,0.99805415,0.816735,0.9841493,0.9729487
0.009022471,0.008412151,0.10598606,0.025936099,0.0054952283
0.9999997,0.9208381,0.5651558,0.8363791,0.9716434
0.82961595,0.29267615,0.88184303,0.12853602,0.81214064
0.9080523,0.955511,0.6590505,0.95988554,0.9693439
0.99584025,0.99982244,0.99920964,0.99978757,0.99998
9.7420225e-06,1.064216e-06,0.0033198502,0.000345654,0.0068799844
0.4211054,0.19933459,0.095359676,0.04150208,0.59698004
0.5633395,0.43734604,0.18175286,0.3974225,0.86263955
5.8900896e-05,2.9069215e-06,6.323204e-05,0.00028014497,0.010852529
0.936602,0.9666668,0.9927657,0.9781487,0.9963087
0.0111175515,0.273993,0.013380198,0.00021723413,0.033847332
0.03900171,0.9542688,0.0030596606,0.54065174,0.97774875
0.35395074,0.03264333,0.004916108,0.032007016,0.027561821
0.6741889,0.95676386,0.9725241,0.93879044,0.9897628
0.036450878,0.006521789,0.14481106,0.0075917486,0.016707381
0.93570524,0.9903046,0.97920585,0.9989576,0.99440056
0.013311588,0.039503478,0.0019090773,0.015934661,0.15558676
0.8213545,0.8964179,0.9868449,0.8425409,0.8780675
0.98987687,0.99751145,0.98092896,0.95096934,0.99382746
0.0029286041,0.0001926242,0.0013262648,0.00057382113,0.02160953
0.39100537,0.9172974,0.72704864,0.33985618,0.91839325
0.051350247,0.12597847,0.0013571888,0.1341974,0.7729483
0.41696405,0.9850684,0.9386582,0.9990016,0.9226019
0.019796045,0.05188519,0.0005915821,0.013246628,0.012819953
0.871956,0.9930108,0.9987999,0.99959475,0.99942034
0.00022417707,1.8868006e-05,0.0002554123,2.2445818e-05,0.0031631526
0.97100776,0.98483795,0.95444727,0.9991878,0.9899863
0.00057714345,0.0003657183,0.0013093632,0.00029354717,0.0013795577
0.9998874,0.98987496,0.9988201,0.97851515,0.9970774
0.017497692,6.699673e-05,7.575024e-05,3.642542e-05,0.0042453147
0.98128265,0.7599825,0.83373135,0.032555036,0.648639
0.997676,0.21440849,0.39898342,0.44794843,0.19861163
0.9869698,0.97681993,0.99185747,0.997951,0.9843591
0.09297785,0.16451216,0.0867576,0.004611301,0.008140495
0.07648758,0.43517682,0.09405541,0.0070805275,0.10190745
0.9966936,0.9908737,0.9074163,0.9154585,0.99712336
0.99999905,0.9999848,0.9678643,0.999959,0.98675674
0.002055166,6.972933e-05,0.000729843,0.0031431527,0.00065129745
0.77540505,0.9999418,0.8046952,0.6733886,0.9984887
0.50488776,0.007454283,0.0022971923,0.0040267236,0.015558452
0.9366703,0.9261282,0.28561372,0.69767964,0.35807878
0.021213455,0.010519741,0.052938797,0.0023749867,0.0014253999
0.65285605,0.8386696,0.7022856,0.76382756,0.92061466
0.563117,0.6572216,0.94948244,0.3423944,0.77891076
0.23513244,0.030485112,0.38742194,0.021985698,0.67091864
0.15562251,0.38225076,0.449515,0.04473046,0.7696366
0.0019511768,0.007985622,0.0012735861,0.0030247336,0.0033923504
0.96200293,0.9925097,0.8866535,0.68899655,0.7618203
0.07188912,0.12072061,0.22595654,0.21397485,0.71800715
0.99996006,0.6934374,0.9952651,0.017905299,0.5122389
0.8766759,0.90105766,0.061085083,0.7489246,0.82299936
0.9996135,0.056616455,0.20162787,0.95355433,0.65155715
0.99655926,0.8828717,0.91320664,0.9977642,0.9842038
0.11542529,0.022160875,0.25980678,0.0037243795,0.014730773
0.004943741,0.00017919432,0.018164571,0.0009344113,0.013062152
0.9998462,0.9845133,0.99696267,0.98863107,0.99998707
0.024171578,0.00013353393,1.5824897e-05,0.0007868903,0.034734067
0.77147114,0.7566598,0.6746948,0.96096575,0.99340206
0.48388714,0.3420661,0.9609183,0.99604094,0.9905432
0.008986559,0.014278102,0.024767332,0.0033917653,0.0286702
0.004932597,0.013593577,0.0897045,0.0056878594,0.016241873
0.97488403,0.9633359,0.9919574,0.6892906,0.8819581
0.1012624,0.038163587,0.004804561,0.010420777,0.007745379
0.9999765,0.9798538,0.9336464,0.93617755,0.98291326
0.7350843,0.9951986,0.8679665,0.968847,0.96569324
3.837679e-05,0.005475757,0.00032849278,0.00010423967,0.00013422265
0.008203669,0.006099256,0.0024092384,0.0014797287,0.0066215876
0.99975854,0.7990903,0.18382213,0.94282657,0.9644177
0.9241592,0.99999404,0.9524388,0.9997875,0.9957701
0.0024323587,0.0004507528,0.0009446686,0.0023119906,0.0064074025
0.0096364785,0.00019769632,0.0061472887,1.0731238e-05,0.042104993
0.99993575,0.5212437,0.99937886,0.8687419,0.99918413
0.5996878,0.0727522,0.6721948,0.49216744,0.9118455
0.32103622,0.37372497,0.9474581,0.08267532,0.16916616
0.9869956,0.4996287,0.23279497,0.3274902,0.79763573
0.54226243,0.1393167,0.8405845,0.41474345,0.7324302
0.9385345,0.96258885,0.9507276,0.9524721,0.7890545
0.064878106,0.40232784,0.5875746,0.18954262,0.7401396
0.9866564,0.99423575,0.9373719,0.9982264,0.92114955
